"seq","datelastmodified","institutioncode","collectioncode","catalognumber","basisofrecord","kingdom","phylum","class","ordem","family","genus","species","subspecies","scientificname","scientificnameauthor","identifiedby","yearidentified","monthidentified","dayidentified","typestatus","collector","collectornumber","fieldnumber","yearcollected","monthcollected","daycollected","julianday","timeofday","continentocean","country","stateprovince","county","locality","longitude","latitude","coordinateprecision","boundingbox","minimumelevation","maximumelevation","minimumdepth","maximumdepth","sex","preparationtype","individualcount","previouscatalognumber","relationshiptype","relatedcatalogitem","notes","barcode","geoflag"
1,2019-07-11 13:03:41,"ESALQ","ESA","142663","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","platyphylla",NA,"Eugenia platyphylla","O.Berg","Valdemarin, K.S.",2017,"02",NA,NA,"Valdemarin, K.S.","356",NA,2016,"12","11",NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,-40.0722007751465,-19.3910999298096,48094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA142663","auto"
2,2019-07-11 13:03:41,"ESALQ","ESA","142665","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","platyphylla",NA,"Eugenia platyphylla","O.Berg","Valdemarin, K.S.",2017,"02",NA,NA,"Valdemarin, K.S.","409",NA,2016,"12","12",NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,-40.0722007751465,-19.3910999298096,48094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA142665","auto"
3,2019-07-11 13:03:41,"ESALQ","ESA","142667","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","platyphylla",NA,"Eugenia platyphylla","O.Berg","Valdemarin, K.S.",2017,"02",NA,NA,"Valdemarin, K.S.","446",NA,2016,"12","13",NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,-40.0722007751465,-19.3910999298096,48094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA142667","auto"
4,2019-07-11 13:03:41,"ESALQ","ESA","142657","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","platyphylla",NA,"Eugenia platyphylla","O.Berg","Valdemarin, K.S.",2018,"02",NA,NA,"Valdemarin, K.S.","398",NA,2016,"12","11",NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,-40.0722007751465,-19.3910999298096,48094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA142657","auto"
5,2019-07-11 13:03:41,"ESALQ","ESA","142673","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","platyphylla",NA,"Eugenia platyphylla","O.Berg","Valdemarin, K.S.",2017,"02",NA,NA,"Valdemarin, K.S.","316",NA,2016,"12","10",NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,-40.0722007751465,-19.3910999298096,48094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA142673","auto"
6,2019-07-11 13:03:41,"ESALQ","ESA","142662","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","platyphylla",NA,"Eugenia platyphylla","O.Berg","Valdemarin, K.S.",2017,"02",NA,NA,"Valdemarin, K.S.","740",NA,2017,"01","22",NA,NA,NA,"Brasil","Espírito Santo","Sooretama",NA,-40.0978012084961,-19.1968994140625,33715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA142662","auto"
7,2019-07-11 13:03:41,"ESALQ","ESA","142661","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","platyphylla",NA,"Eugenia platyphylla","O.Berg","Valdemarin, K.S.",2017,"07",NA,NA,"Valdemarin, K.S.","748",NA,2017,"01","22",NA,NA,NA,"Brasil","Espírito Santo","Sooretama",NA,-40.0978012084961,-19.1968994140625,33715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA142661","auto"
8,2019-07-11 13:03:41,"ESALQ","ESA","142656","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","platyphylla",NA,"Eugenia platyphylla","O.Berg","Valdemarin, K.S.",2018,"02",NA,NA,"Valdemarin, K.S.","361",NA,2016,"12","11",NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,-40.0722007751465,-19.3910999298096,48094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA142656","auto"
9,2019-07-11 13:03:41,"ESALQ","ESA","142669","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","platyphylla",NA,"Eugenia platyphylla","O.Berg","Valdemarin, K.S.",2017,"02",NA,NA,"Valdemarin, K.S.","375",NA,2016,"12","11",NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,-40.0722007751465,-19.3910999298096,48094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA142669","auto"
10,2019-07-11 13:03:41,"ESALQ","ESA","142670","S","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","platyphylla",NA,"Eugenia platyphylla","O.Berg","Valdemarin, K.S.",2017,"02",NA,NA,"Valdemarin, K.S.","355",NA,2016,"12","11",NA,NA,NA,"Brasil","Espírito Santo","Linhares",NA,-40.0722007751465,-19.3910999298096,48094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA142670","auto"
