"seq","datelastmodified","institutioncode","collectioncode","catalognumber","basisofrecord","kingdom","phylum","class","ordem","family","genus","species","subspecies","scientificname","scientificnameauthor","identifiedby","yearidentified","monthidentified","dayidentified","typestatus","collector","collectornumber","fieldnumber","yearcollected","monthcollected","daycollected","julianday","timeofday","continentocean","country","stateprovince","county","locality","longitude","latitude","coordinateprecision","boundingbox","minimumelevation","maximumelevation","minimumdepth","maximumdepth","sex","preparationtype","individualcount","previouscatalognumber","relationshiptype","relatedcatalogitem","notes","barcode","geoflag"
11,2019-08-20 13:03:56,"UNICAMP","UEC",77277,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.",NA,NA,NA,NA,NA,"Toledo, DV; Bertoni, JEA","25699",NA,1990,"12","17",NA,NA,NA,"Brazil","São Paulo","Águas da Prata","Reserva Estadual de Águas da Prata.",-46.7099990844727,-21.9300003051758,13435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fruto, Árvore com 20-25 m no interior da mata. Ramos com frutos. Mata mesófila semidecídua.","UEC184034","auto"
12,2019-08-20 13:03:56,"UNICAMP","UEC",145800,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Kinoshita, LS",NA,NA,NA,NA,"Marasca, RM","10",NA,2006,"12","14",NA,NA,NA,"Brazil","São Paulo","Campinas","Bairro Taquaral -Parque Portugal",-47.060001373291,-22.8999996185303,23900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UEC170457","auto"
13,2019-08-20 13:03:56,"UNICAMP","UEC",173,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Leitão Filho, HF",1979,"08",NA,NA,"Leitão Filho, HF; Shepherd, GJ","4013",NA,1976,"11","23",NA,NA,NA,"Brazil","São Paulo","Campinas","Barão Geraldo. Fazenda Santa Genebra.",-47.060001373291,-22.8999996185303,23900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fruto, Árvore de 9 m. frutos verdes. Em mata.","UEC170459","auto"
14,2019-08-20 13:03:56,"UNICAMP","UEC",145815,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Koch, I",2005,"10",NA,NA,"Marasca, RM","12",NA,2005,"01","20",NA,NA,NA,"Brazil","São Paulo","Campinas","Campus da Universidade Estadual de Campinas",-47.060001373291,-22.8999996185303,23900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UEC177993","auto"
15,2019-08-20 13:03:56,"UNICAMP","UEC",114963,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Cielo-Filho, R",NA,NA,NA,NA,"Cielo-Filho, R; Batista, ER","89",NA,1999,"12","03",NA,NA,NA,"Brazil","São Paulo","Campinas","Distrito de Souzas, Mata Ribeirão Cachoeira (Condomínio Colinas de Atibaia.)",-47.060001373291,-22.8999996185303,23900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Árvore de aproximadamente 18m de altura, casca fissurada internamente friável, fruto imaturo verde. Indivíduo no. 1077","UEC184035","auto"
16,2019-08-20 13:03:56,"UNICAMP","UEC",40170,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.",NA,NA,NA,NA,NA,"Morellato-Fonzar, LPC; Rodrigues, RR","17800",NA,1985,"02","21",NA,NA,NA,"Brazil","São Paulo","Jundiaí","Serra do Japi, Ermida.",-46.8800010681152,-23.1800003051758,17840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fruto, Árvore, 8 m de altura. Frutos maduros escuros = negros.","UEC170458","auto"
17,2019-08-20 13:03:56,"UNICAMP","UEC",188293,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.",NA,NA,NA,NA,NA,"Verdi, M; Hasckel, RP; Klemz, G","1790",NA,2009,"03","09",NA,NA,NA,"Brazil","Santa Catarina","Mondaí",NA,-53.4019012451172,-27.1028003692627,15861,NA,341,341,NA,NA,NA,NA,NA,NA,NA,NA,"fruto verde","UEC115977","auto"
18,2019-08-20 13:03:56,"UNICAMP","UEC",160485,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Koch, I",NA,NA,NA,NA,"Romaniuc Neto, S","753",NA,1988,"03","02",NA,NA,NA,"Brazil","Bahia","Prado","Res. Fl. do P. Estad. das Fontes do Ipiranga, Beira da mata.",-39.2207984924316,-17.341100692749,53161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Árvore ca. 8 m alt. Látex branco. Frutos verdes com manchas vermelho-vinácos.","UEC017132","auto"
19,2019-08-20 13:03:56,"UNICAMP","UEC",160486,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Koch, I",NA,NA,NA,NA,"Romaniuc Neto, S","753",NA,1988,"03","02",NA,NA,NA,"Brazil","Bahia","Prado","Res. Fl. do P. Estad. das Fontes do Ipiranga, Beira da mata.",-39.2207984924316,-17.341100692749,53161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Árvore ca. 8 m alt. Látex branco. Frutos verdes com manchas vermelho-vinácos.","UEC017131","auto"
20,2019-08-20 13:03:56,"UNICAMP","UEC",85318,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Koch, I",NA,NA,NA,NA,"Garcia, FCP","513",NA,1989,"09",NA,NA,NA,NA,"Brazil","São Paulo","Rio Claro","Arredores do Campus de Rio Claro - SP. Cultivada na Unesp - Bela Vista.",-47.560001373291,-22.4099998474121,21773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Árvore de 5m de altura. Flores brancas. Com latex branco - Odoríferas.","UEC070014","auto"
21,2019-08-20 13:03:56,"UNICAMP","UEC",85317,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Koch, I",NA,NA,NA,NA,"Rampin, VT","s.n.",NA,1989,"04",NA,NA,NA,NA,"Brazil","São Paulo","Rio Claro","Arredores do Campus de Rio Claro-Sp. Unesp.",-47.560001373291,-22.4099998474121,21773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arvore, frutos imaturos de cor verde.; Cultivada.","UEC070015","auto"
22,2019-08-20 13:03:56,"UNICAMP","UEC",85316,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Koch, I",NA,NA,NA,NA,"Rampin, VT","s.n.",NA,1990,"11","01",NA,NA,NA,"Brazil","São Paulo","Rio Claro","Campus Bela Vista - UNESP",-47.560001373291,-22.4099998474121,21773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Árvore 3m altura - flores amarelas - frutos verdes - com latex.","UEC070013","auto"
23,2019-08-20 13:03:56,"UNICAMP","UEC",83450,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Kinoshita, LS",1996,"05",NA,NA,"Noffs, LB; Câmara, MC; Cavalcanti, FS","5",NA,1976,"11","24",NA,NA,NA,"Brazil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga,",-46.6300010681152,-23.5400009155273,53584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fruto, Arboreto, árvore com látex.","UEC170461","auto"
24,2019-08-20 13:03:56,"UNICAMP","UEC",161984,"S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Rauvolfia","sellowii",NA,"Rauvolfia sellowii","Müll.Arg.","Estevan, DA",2004,NA,NA,NA,"Estevan, DA","520",NA,2004,"10","26",NA,NA,NA,"Brazil","Paraná","Ventania","Fazenda Santa Inês",-50.2428016662598,-24.2458000183105,32424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Árvore 8 m; frutos imaturos verdes. Fragmento 2.","UEC009246","auto"
25,2019-08-20 13:16:04,"UNICAMP","UEC",199310,"S","Plantae","Magnoliopsida",NA,NA,"Lamiaceae","Cantinoa","althaeifolia",NA,"Cantinoa althaeifolia","(Pohl ex Benth.) Harley & J.F.B.Pastore","Simão-Bianchini, R",2016,"05",31,NA,"Shirasuna, RT","3273",NA,2014,"03","10",NA,NA,NA,"Brazil","São Paulo","Guarulhos","Rodoanel norte, lote 6. OAE 604.",-46.425444,-23.391194,NA,NA,773,773,NA,NA,NA,NA,NA,NA,NA,NA,"Subarbusto ca. 1,2m alt., flores lilás.","UEC171660",NA
26,2019-08-20 13:16:04,"UNICAMP","UEC",103523,"S","Plantae","Magnoliopsida",NA,NA,"Lamiaceae","Cantinoa","althaeifolia",NA,"Cantinoa althaeifolia","(Pohl ex Benth.) Harley & J.F.B.Pastore","Antar, GM",2019,"02",NA,NA,"Félix, LP; Laforge, A","s.n.",NA,1996,"04","05",NA,NA,NA,"Brazil","Paraná","Tibagi",NA,-50.4136009216309,-24.5093994140625,56988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arbusto, flores róseas. Terrenos encapoeirados.","UEC095211","auto"
